axis,beta,se,p,wild_p,bjs,n,G,base,tost25,ci_lo,ci_hi
semantic_score,-0.004280441268451064,0.004004004204769251,0.28505157670557013,0.3575,-0.003113609854770048,5956,181,0.9453872053707182,0.0,-0.012128289509798797,0.003567406972896669
keyboard_score,-0.0016319588702596842,0.0036914289234689017,0.6584211288107493,0.6875,-0.0011034931808209802,5956,181,0.9637933133207983,0.0,-0.008867159560258731,0.005603241819739363
wcag_total_dens,-0.0015875329781434811,0.0023180763958307684,0.49343902705585707,0.52,-0.0015141861717630437,5956,181,0.034523828920865716,0.0011888821219000478,-0.006130962713971787,0.002955896757684825
wcag_operable_dens,-0.0015679701137237905,0.001920990132781967,0.4143685011076912,0.435,-0.0018196140834355258,5956,181,0.018249626488181053,0.05952204147783913,-0.005333110773976446,0.0021971705465288647
severity_weighted_dens,-0.0028531170969068537,0.004801101336584317,0.5523361918961667,0.565,-0.0021684589812278466,5956,181,0.07976034148419038,0.0001861571107943938,-0.012263275716612114,0.006557041522798407
